Entry,Drying,Purpose,Shape,First materials,Second materials,Modification,First material class,Second materials class,Modification class,Gelation class,Solvent class,Process,Gelation mechanism,Final solvent,Drying details,Post drying treatment,Post-drying cross-linking,Envelope density g/cm3,Porosity,BET surface area m2/g,BJH pore size nm,BJH pore volume (total) cm3/g,compression elastic modulus MPa,SEM,Thermal conductivity W/(m K),Thermal method,Thermal method detail,,
1,SCD,Not specific,Monolith?,Soda soap,,,Q,,,pp,or,Lubricating grease (cooling),Physical (temperature)?,Butene?,SCD,,,,,,,,,,,,,,
2,FD,Not specific,Monolith,Polystyrene,,,J,,,pp,or,"Polystyrene solution in benzen (frozen, N2)",Physical?,Benzene,FD,,,,,185,,,,,,,,,
3,FD,Not specific,Monolith,Polystyrene,,,J,,,pp,or,"Polystyrene solution in benzen (frozen, -10 °C)",Physical?,Benzene,FD,,,,,16,,,,,,,,,
4,FD,Not specific,Monolith,Polystyrene,,,J,,,pp,or,"Polystyrene solution in benzen (frozen, N2)",Physical?,Benzene,FD,,,,,185,,,,,,,,,
5,FD,Not specific,Monolith,Polystyrene,,,J,,,pp,or,"Polystyrene solution in benzen (frozen, -10 °C)",Physical?,Benzene,FD,,,,,16,,,,,,,,,
6,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol (0.29 mol) + formaldehyde (0.58 mol) + NaCO3 (0.029 mol) solution + trifluoroacetic acid solution,Chemical (polymerization),Acetone,SCD,,,0.079,,,,,,Mesoporous (nanoparticulate),,,,,
7,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol (0.29 mol) + formaldehyde (0.58 mol) + NaCO3 (0.019 mol) solution + trifluoroacetic acid solution,Chemical (polymerization),Acetone,SCD,,,0.073,,,,,,Mesoporous (nanoparticulate),,,,,
8,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol (0.29 mol) + formaldehyde (0.58 mol) + NaCO3 (0.015 mol) solution + trifluoroacetic acid solution,Chemical (polymerization),Acetone,SCD,,,0.07,,,,,,Mesoporous (nanoparticulate),,,,,
9,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol (0.24 mol) + formaldehyde (0.47 mol) + NaCO3 (0.012 mol) solution + trifluoroacetic acid solution,Chemical (polymerization),Acetone,SCD,,,0.054,,,,,,Mesoporous (nanoparticulate),,,,,
10,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol (0.21 mol) + formaldehyde (0.41 mol) + NaCO3 (0.010 mol) solution + trifluoroacetic acid solution,Chemical (polymerization),Acetone,SCD,,,0.044,,,,,,Mesoporous (nanoparticulate),,,,,
11,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol (0.12 mol) + formaldehyde (0.24 mol) + NaCO3 (0.006 mol) solution + trifluoroacetic acid solution,Chemical (polymerization),Acetone,SCD,,,0.03,,,,,,Mesoporous (nanoparticulate),,,,,
12,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution?,Chemical (polymerization),Acetone,SCD,,,,,,,,,,,,,,
13,SCD,Not specific,Monolith,MF,,,I,,,cp,ow,Melamin-formaldehyde-catalyst solution?,Chemical (polymerization),Acetone,SCD,,,,,,,,,,,,,,
14,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 50),Chemical (polymerization),Acetone,SCD,,,,,905,,,,,,,,,
15,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 20),Chemical (polymerization),Acetone,SCD,,,,,580,,,,,,,,,
16,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 300),Chemical (polymerization),Acetone,SCD,,,,,390,,,,,,,,,
17,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 50),Chemical (polymerization),Acetone,SCD,,,0.15,,900,,,7,Mesoporous (nanoparticulate),,,,,
18,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 50),Chemical (polymerization),Acetone,SCD,Post-calcination at 1100 °C,,0.15,,,,,50,Mesoporous (nanoparticulate),,,,,
19,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 300),Chemical (polymerization),Acetone,SCD,,,0.15,,400,,,0.7,Mesoporous (nanoparticulate),,,,,
20,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 300),Chemical (polymerization),Acetone,SCD,Post-calcination at 1100 °C,,0.15,,,,,10,Mesoporous (nanoparticulate),,,,,
21,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde (R/C = 50) solution + Na2CO3 solution,Chemical (polymerization),Acetone,SCD,,,0.105,,905,,,,Mesoporous (nanoparticulate),,,,,
22,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde (R/C = 100) solution + Na2CO3 solution,Chemical (polymerization),Acetone,SCD,,,0.073,,769,,,,Mesoporous (nanoparticulate),,,,,
23,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde (R/C = 150) solution + Na2CO3 solution,Chemical (polymerization),Acetone,SCD,,,0.064,,699,,,,Mesoporous (nanoparticulate),,,,,
24,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde (R/C = 200) solution + Na2CO3 solution,Chemical (polymerization),Acetone,SCD,,,0.062,,576,,,,Mesoporous (nanoparticulate),,,,,
25,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde (R/C = 300) solution + Na2CO3 solution,Chemical (polymerization),Acetone,SCD,,,0.063,,389,,,,Mesoporous (nanoparticulate),,,,,
26,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde (R/C = 50) solution + Na2CO3 solution,Chemical (polymerization),Acetone,SCD,,,0.105,,905,,,,Mesoporous (nanoparticulate),,,,,
27,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde (R/C = 100) solution + Na2CO3 solution,Chemical (polymerization),Acetone,SCD,,,0.073,,769,,,,Mesoporous (nanoparticulate),,,,,
28,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde (R/C = 150) solution + Na2CO3 solution,Chemical (polymerization),Acetone,SCD,,,0.064,,699,,,,Mesoporous (nanoparticulate),,,,,
29,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde (R/C = 200) solution + Na2CO3 solution,Chemical (polymerization),Acetone,SCD,,,0.062,,576,,,,Mesoporous (nanoparticulate),,,,,
30,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde (R/C = 300) solution + Na2CO3 solution,Chemical (polymerization),Acetone,SCD,,,0.063,,389,,,,Mesoporous (nanoparticulate),,,,,
31,SCD,Thermal insulation,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution,Chemical (polymerization),Acetone,SCD,,,0.08,,,,,,,0.014,Transient,Hot wire,,
32,SCD,Thermal insulation,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution,Chemical (polymerization),Acetone,SCD,,,0.157,,,,,,,0.012,Transient,Hot wire,,
33,SCD,Thermal insulation,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution,Chemical (polymerization),Acetone,SCD,,,0.3,,,,,,,0.018,Transient,Hot wire,,
34,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 50, R = 5%)",Chemical (polymerization),Acetone,SCD,,,0.1,,905,,,,,,,,,
35,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 100, R = 5%)",Chemical (polymerization),Acetone,SCD,,,0.07,,769,,,,,,,,,
36,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 150, R = 5%)",Chemical (polymerization),Acetone,SCD,,,0.061,,699,,,,,,,,,
37,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 200, R = 5%)",Chemical (polymerization),Acetone,SCD,,,0.058,,577,,,,,,,,,
38,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 300, R = 5%)",Chemical (polymerization),Acetone,SCD,,,0.065,,389,,,,,,,,,
